来源文件,来源Sheet,原始行号,系统大类,系统,界面,界面过程名称,FGUI名称,界面优先级,负责交互,负责拼接,负责GUI,PC定制等级,PC制作方式,PC工作量,定制优先级,PC制作进展,RLS备注,B2备注,风格迭代总进展,跑测来源
SOC项目全量界面整理.xlsx,界面盘点,42,局外系统（含跨局内外部分）,个人信息,展示名片,展示名片,UiPlayerHomeCard,P1,李艺,熊峰,李萨,2-适配优化,适配+部分定制,E,P2可改,制作完成,,快捷交互行为，如增加右键功能、绑定快捷键,未处理,
SOC项目全量界面整理.xlsx,界面盘点,43,局外系统（含跨局内外部分）,个人信息,灯牌/标签弹窗,灯牌/标签弹窗,UiPlayerPersonalIntroduction,P1,李艺,熊峰,李萨,2-适配优化,纯适配+pc框架,无需,无需,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,44,局外系统（含跨局内外部分）,个人信息,社群灯牌,社群灯牌,,,李艺,熊峰,李萨,1-纯适配,纯适配+pc框架,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,45,局外系统（含跨局内外部分）,个人信息,个人数据,个人数据,,,李艺,熊峰,王京京,2-适配优化,纯适配+pc框架,,,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,46,局外系统（含跨局内外部分）,个人信息,对局记录,对局记录,,,李艺,熊峰,王京京,2-适配优化,纯适配+pc框架,,,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,47,局外系统（含跨局内外部分）,个人信息,详细数据,详细数据,,,李艺,熊峰,王京京,2-适配优化,纯适配+pc框架,,,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,48,局外系统（含跨局内外部分）,个人信息,生存评分,生存评分,,,李艺,熊峰,王京京,2-适配优化,纯适配+pc框架,,,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,49,局外系统（含跨局内外部分）,个人信息,突袭记录,突袭记录,,,李艺,熊峰,王京京,2-适配优化,纯适配+pc框架,,,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,50,局外系统（含跨局内外部分）,个人信息,勋章,勋章,,P1,李艺,熊峰,王京京,,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,51,局外系统（含跨局内外部分）,个人信息,勋章-解锁条件,勋章-解锁条件,,P1,李艺,熊峰,王京京,,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,52,局外系统（含跨局内外部分）,邮箱,邮箱,邮箱,UiLobbyMail@LobbyMail,P0,王斌,杨帅帅,李宁,2-适配优化,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,53,局外系统（含跨局内外部分）,生存手册,生存手册,生存手册,UiSurvivalManual@GameSurvivalManual,P0,王斌,李秋,李宁,4-部分功能定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,54,局外系统（含跨局内外部分）,好友,好友列表,好友列表,UiLobbyFriend@LobbyFriend,P0,傅柄乔,杨帅帅,冯健恒,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,55,局外系统（含跨局内外部分）,好友,添加好友,添加好友,,P0,傅柄乔,杨帅帅,冯健恒,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,56,局外系统（含跨局内外部分）,好友,请求列表,请求列表,,P0,傅柄乔,杨帅帅,冯健恒,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,57,局外系统（含跨局内外部分）,好友,临时好友,临时好友,,P0,傅柄乔,杨帅帅,冯健恒,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,58,局外系统（含跨局内外部分）,好友,好友赠礼,好友赠礼,,,傅柄乔,杨帅帅,冯健恒,1-纯适配,纯适配+pc框架,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,59,局外系统（含跨局内外部分）,好友,赠礼页面,赠礼页面,,,傅柄乔,杨帅帅,冯健恒,1-纯适配,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,61,局外系统（含跨局内外部分）,设置,基础设置,基础设置,UISetting@GameSetting,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,定制,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,62,局外系统（含跨局内外部分）,设置,音效和音量,音效和音量,,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,定制,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,63,局外系统（含跨局内外部分）,设置,拾取设置,拾取设置,,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,64,局外系统（含跨局内外部分）,设置,设置-操作设置,设置-操作设置,,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,纯适配+pc框架,无需,无需,制作完成,,PC无此功能,未处理,
SOC项目全量界面整理.xlsx,界面盘点,65,局外系统（含跨局内外部分）,设置,设置-自定义键位,设置-自定义键位,,,石凤姣,蔡婷艳,冯健恒,6-完全定制,纯适配+pc框架,无需,无需,制作完成,,PC无此功能,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,66,局外系统（含跨局内外部分）,设置,键鼠设置,键鼠设置,UISetting_PC@GameSetting_PC,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,定制,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,67,局外系统（含跨局内外部分）,设置,快捷发言,快捷发言,,,石凤姣,蔡婷艳,冯健恒,6-完全定制,定制,无需,无需,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,68,局外系统（含跨局内外部分）,组队,组队邀请侧弹窗,组队邀请侧弹窗,UiCommonInvite,P0,余子文,李秋,李宁,2-适配优化,纯适配+pc框架,无需,无需,待处理,未作悬浮态（20251112）,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,69,局外系统（含跨局内外部分）,组队,大厅招募,大厅招募,UiCommonTeam,P2,余子文,李秋,李宁,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,70,局外系统（含跨局内外部分）,组队,消息中心弹窗,消息中心弹窗,,P0,余子文,李秋,李宁,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,71,局外系统（含跨局内外部分）,组队,组队侧弹窗-搜索好友,组队侧弹窗-搜索好友,UiCommonInvite,P0,余子文,李秋,李宁,2-适配优化,纯适配+pc框架,无需,无需,待处理,好友系统,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,72,局外系统（含跨局内外部分）,组队,发布招募,发布招募,UiPublishRecruit,P1,余子文,李秋,李宁,1-纯适配,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,73,局外系统（含跨局内外部分）,组队,局外组队主界面-大厅队伍,局外组队主界面-大厅队伍,UiLobbyTeam,P0,余子文,李秋,彭歆妍,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,74,局外系统（含跨局内外部分）,组队,局外组队主界面-预约队伍,局外组队主界面-预约队伍,UiLobbyTeam,P0,余子文,李秋,彭歆妍,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,75,局外系统（含跨局内外部分）,组队,预约招募,预约招募,UiCommonTeam,P0,余子文,李秋,李宁,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,76,局外系统（含跨局内外部分）,组队,战局招募,战局招募,UiCommonTeam,P0,余子文,李秋,李宁,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,77,局外系统（含跨局内外部分）,组队,我的队伍,我的队伍,UiCommonTeam@CommonTeam,P0,余子文,李秋,李宁,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,78,局外系统（含跨局内外部分）,组队,选择时段弹窗,选择时段弹窗,UiTeamBooking@LobbyTeam,P0,余子文,李秋,李宁,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,79,局外系统（含跨局内外部分）,组队,发布预约招募,发布预约招募,UiPublishRecruit,P0,余子文,李秋,李宁,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,80,局外系统（含跨局内外部分）,战局/匹配流程,游戏选择模式,游戏选择模式,UiSelectPlayMode@LobbySelectPlayMode,P0,余子文,谢爱萍,彭歆妍,3-纯表现定制,适配+部分定制,无需,无需,制作完成,,UI适配定制,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,81,局外系统（含跨局内外部分）,战局/匹配流程,大厅-组队中状态,大厅-组队中状态,ComLobbyMainRoot,P0,余子文,谢爱萍,彭歆妍,2-适配优化,纯适配+pc框架,无需,无需,待处理,,绑定快捷键,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,82,局外系统（含跨局内外部分）,战局/匹配流程,找到对局提醒,找到对局提醒,ComMatchFeedback,P0,余子文,谢爱萍,彭歆妍,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,83,局外系统（含跨局内外部分）,聊天,世界频道聊天,世界频道聊天,ChatMain,P0,傅柄乔,蔡婷艳,李宁,4-部分功能定制,适配+部分定制,无需,无需,制作完成,,UI适配定制 / 语音输入定制,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,84,局外系统（含跨局内外部分）,聊天,私聊,私聊,ChatMain,P0,傅柄乔,蔡婷艳,李宁,4-部分功能定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,85,局外系统（含跨局内外部分）,聊天,队伍聊天,队伍聊天,ChatMain,P0,傅柄乔,蔡婷艳,李宁,4-部分功能定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,86,局外系统（含跨局内外部分）,聊天,社群聊天,社群聊天,ChatMain,P0,傅柄乔,蔡婷艳,李宁,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,87,局外系统（含跨局内外部分）,聊天,公会聊天,公会聊天,ChatMain,P0,傅柄乔,蔡婷艳,李宁,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,88,局外系统（含跨局内外部分）,聊天,聊天语音,聊天语音,UiChat@GameChat,P0,傅柄乔,蔡婷艳,李宁,4-部分功能定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,89,局外系统（含跨局内外部分）,服务器列表,服务器列表,服务器列表,UiLobbyServerList@LobbyServerList,P2,,蔡婷艳,,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,无需处理,
SOC项目全量界面整理.xlsx,界面盘点,90,局外系统（含跨局内外部分）,历史战局,历史战局,历史战局,UiHistoryBattle,P1,余子文,蔡婷艳,彭歆妍,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,91,局外系统（含跨局内外部分）,历史战局,游戏删除确认,游戏删除确认,deleteHistoryPanel,P1,余子文,蔡婷艳,彭歆妍,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,待定,
SOC项目全量界面整理.xlsx,界面盘点,92,局外系统（含跨局内外部分）,皮肤(收藏),主页,主页,RootLobbySkinEntrance,P0,王斌,李秋,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,待定,
SOC项目全量界面整理.xlsx,界面盘点,93,局外系统（含跨局内外部分）,皮肤(收藏),道具&武器,道具&武器,UiLobbySkinWeapon,P0,王斌,李秋,蒲诗雨,3-纯表现定制,适配+部分定制,F,P1尽量,制作完成,,UI适配定制,未处理,
SOC项目全量界面整理.xlsx,界面盘点,94,局外系统（含跨局内外部分）,皮肤(收藏),通用预览,通用预览,UiCommonPreview,P0,王斌,李秋,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,95,局外系统（含跨局内外部分）,皮肤(收藏),亮点弹窗,亮点弹窗,ComPopHighLight,P0,王斌,李秋,蒲诗雨,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,96,局外系统（含跨局内外部分）,皮肤(收藏),收藏分享图,收藏分享图,UiCommonShare,P1,王斌,李秋,蒲诗雨,1-纯适配,纯适配+pc框架,无需,无需,1-纯适配,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,97,局外系统（含跨局内外部分）,皮肤(收藏),角色-时装,角色-时装,ComSkinArmorContent,P0,王斌,李秋,蒲诗雨,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,98,局外系统（含跨局内外部分）,皮肤(收藏),角色-装备,角色-装备,ComSkinArmorContent,P0,王斌,李秋,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,99,局外系统（含跨局内外部分）,皮肤(收藏),建筑,建筑,RootLobbySkinBuildingContent,P0,王斌,李秋,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,100,局外系统（含跨局内外部分）,皮肤(收藏),摆件,摆件,UiLobbySkinBuilding,P0,王斌,李秋,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,101,局外系统（含跨局内外部分）,皮肤(收藏),个性化,个性化,ComLobbySkinWeaponRoot,P0,王斌,李秋,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,102,局外系统（含跨局内外部分）,皮肤(收藏),个性化-轮盘配置,个性化-轮盘配置,ComLobbySkinWeaponContent,P0,王斌,李秋,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,103,局外系统（含跨局内外部分）,炫彩皮肤 / (皮肤改造),皮肤改造主界面,皮肤改造主界面,UiLobbySkinModify,,王斌,李秋,李宁,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,104,局外系统（含跨局内外部分）,炫彩皮肤 / (皮肤改造),收藏界面-已改造状态,收藏界面-已改造状态,,,王斌,李秋,李宁,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,105,局外系统（含跨局内外部分）,兴趣部落/社群,我的部落,我的部落,RootInterestTribeMain,P0,傅柄乔,傅柄乔,李宁,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,106,局外系统（含跨局内外部分）,兴趣部落/社群,推荐部落,推荐部落,RootInterestTribeMainContent,P1,傅柄乔,傅柄乔,李宁,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,制作中,
SOC项目全量界面整理.xlsx,界面盘点,107,局外系统（含跨局内外部分）,兴趣部落/社群,群公告,群公告,,,傅柄乔,傅柄乔,李宁,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,108,局外系统（含跨局内外部分）,兴趣部落/社群,社区灯牌-灯牌等级,社区灯牌-灯牌等级,,,傅柄乔,傅柄乔,李宁,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,109,局外系统（含跨局内外部分）,兴趣部落/社群,社区灯牌-成长体系,社区灯牌-成长体系,,,傅柄乔,傅柄乔,李宁,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,110,局外系统（含跨局内外部分）,兴趣部落/社群,查看部落弹窗,查看部落弹窗,UiTribeDetail,P1,傅柄乔,傅柄乔,李宁,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,111,局外系统（含跨局内外部分）,兴趣部落/社群,创建部落弹窗,创建部落弹窗,UiCreateTribe,P0,傅柄乔,傅柄乔,李宁,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,112,局外系统（含跨局内外部分）,兴趣部落/社群,批量邀请,批量邀请,UiCommonInvite,P1,傅柄乔,傅柄乔,李宁,3-纯表现定制,,,,制作完成,,,,
SOC项目全量界面整理.xlsx,界面盘点,113,局外系统（含跨局内外部分）,兴趣部落/社群,部落头像弹窗,部落头像弹窗,UiChooseTribeTag,P0,傅柄乔,傅柄乔,李宁,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,114,局外系统（含跨局内外部分）,兴趣部落/社群,部落标签弹窗,部落标签弹窗,UiChooseTribeTag,P0,傅柄乔,傅柄乔,李宁,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,115,局外系统（含跨局内外部分）,兴趣部落/社群,社群聊天,社群聊天,UiChatLobby(UiChat),,傅柄乔,傅柄乔,李宁,1-纯适配,,,,暂不处理,随聊天处理,,,
SOC项目全量界面整理.xlsx,界面盘点,116,局外系统（含跨局内外部分）,兴趣部落/社群,社群邀请,社群邀请,UiTribeInviteInfos,,傅柄乔,傅柄乔,李宁,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,117,局外系统（含跨局内外部分）,兴趣部落/社群,解散社群,解散社群,UiDismissTribe,,傅柄乔,傅柄乔,李宁,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,118,局外系统（含跨局内外部分）,兴趣部落/社群,分享社群,分享社群,UiCommonSharePop,,傅柄乔,傅柄乔,李宁,1-纯适配,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,119,局外系统（含跨局内外部分）,抽奖,重包装抽奖（十连抽）,重包装抽奖（十连抽）,,P0,王斌,蔡婷艳,刘敏,3-纯表现定制,,,,制作完成,,,,
SOC项目全量界面整理.xlsx,界面盘点,120,局外系统（含跨局内外部分）,抽奖,重包装抽奖恭喜获得,抽奖,重包装抽奖恭喜获得,P0,王斌,蔡婷艳,刘敏,,,,,,,,,
